Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
21.89439296722412	43	70.066666	25.299454	147.0	40.0	70.06666666666666	25.299451026103753	1051	45974
22.61661195755005	44	74.14286	38.12359	200.0	46.0	74.14285714285714	38.12359063972471	1038	47012
23.27491593360901	45	74.64286	16.782675	110.0	52.0	74.64285714285714	16.782674496793	1045	48057
23.96580481529236	46	86.75	29.17226	150.0	49.0	86.75	29.172261368178734	1041	49098
24.73809814453125	47	93.666664	48.230927	200.0	44.0	93.66666666666667	48.230925993829125	1124	50222
25.34733819961548	48	84.75	39.952316	200.0	46.0	84.75	39.95231532714969	1017	51239
26.040668964385986	49	75.6	30.043966	179.0	50.0	75.6	30.043967780571194	1134	52373
26.704926013946533	50	80.35714	40.32831	200.0	43.0	80.35714285714286	40.32830828313521	1125	53498
27.315022945404053	51	65.8125	14.824889	93.0	48.0	65.8125	14.824889333482393	1053	54551
27.934098958969116	52	84.916664	31.132668	172.0	51.0	84.91666666666667	31.132668622454382	1019	55570
28.52282190322876	53	68.26667	21.77297	125.0	46.0	68.26666666666667	21.77296999084466	1024	56594
29.121816873550415	54	77.92308	24.281874	130.0	48.0	77.92307692307692	24.281875287045303	1013	57607
29.7862491607666	55	91.545456	46.18808	200.0	45.0	91.54545454545455	46.1880811787544	1007	58614
30.49804997444153	56	112.0	41.33602	200.0	74.0	112.0	41.33602141796749	1008	59622
31.146973133087158	57	83.07692	14.499133	106.0	54.0	83.07692307692308	14.49913280410266	1080	60702
31.813956022262573	58	100.63636	36.85666	200.0	64.0	100.63636363636364	36.85665778581254	1107	61809
32.79897999763489	59	106.9	45.374992	200.0	51.0	106.9	45.37499311294714	1069	62878
33.85826015472412	60	123.22222	55.979713	200.0	46.0	123.22222222222223	55.97971413879968	1109	63987
34.6356999874115	61	101.545456	47.009407	200.0	54.0	101.54545454545455	47.009406479136295	1117	65104
35.43858218193054	62	120.55556	38.20736	200.0	63.0	120.55555555555556	38.20736145215739	1085	66189
36.08024191856384	63	85.166664	36.80542	200.0	60.0	85.16666666666667	36.80541928695948	1022	67211
36.83141112327576	64	105.7	44.12267	200.0	56.0	105.7	44.12266991014936	1057	68268
37.53999090194702	65	97.09091	39.94645	200.0	59.0	97.0909090909091	39.94645176063154	1068	69336
38.18574285507202	66	93.90909	28.185923	158.0	56.0	93.9090909090909	28.185923454656148	1033	70369
38.85835814476013	67	77.71429	28.651674	163.0	52.0	77.71428571428571	28.651673028759397	1088	71457
39.67944002151489	68	101.545456	39.03463	179.0	53.0	101.54545454545455	39.034631794585216	1117	72574
40.610379219055176	69	138.25	53.96932	200.0	62.0	138.25	53.96931998830447	1106	73680
41.44903302192688	70	118.44444	53.514507	200.0	62.0	118.44444444444444	53.51450709046849	1066	74746
42.2093710899353	71	112.888885	56.20685	200.0	49.0	112.88888888888889	56.206849018097515	1016	75762
43.058778047561646	72	121.55556	48.18739	200.0	58.0	121.55555555555556	48.18739141474692	1094	76856
43.82315397262573	73	93.25	43.895947	200.0	53.0	93.25	43.89594704146007	1119	77975
44.63928008079529	74	110.0	40.73819	200.0	59.0	110.0	40.73818847224309	1100	79075
45.34571719169617	75	103.1	44.755898	200.0	56.0	103.1	44.755893466670955	1031	80106
